"team","season","week","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"KC",2023,8,40,153,0,0,5,0,0,15,10,3.8,114,3,0,72,6,12,2,0,39,10,19,0.632,6
"KC",2023,9,21,117,1,2,1,1,0,25,0,5.6,193,1,0,72,3,21,1,0,31,15,34,0.618,5.7
"LA",2023,1,18,85,0,0,1,0,0,15,0,4.7,112,1,0,71,2,16,1,0,28,7,26,0.615,4.3
"LA",2023,11,21,68,0,0,0,0,0,11,3,3.2,236,1,1,117,2,24,3,1,53,16,40,0.6,5.9
"LA",2023,12,15,73,1,0,0,0,0,14,1,4.9,256,1,0,115,4,27,3,0,36,10,45,0.6,5.7
"LA",2023,13,23,87,0,0,0,0,0,13,7,3.8,254,2,1,70,2,23,5,1,42,12,44,0.523,5.8
"LA",2023,14,26,139,0,1,8,1,0,27,1,5.3,316,3,1,107,2,24,4,2,54,11,43,0.558,7.3
"LA",2023,15,21,79,0,1,4,0,0,13,5,3.8,226,3,1,54,1,19,3,1,48,6,36,0.528,6.3
"LA",2023,16,16,35,0,0,1,0,0,5,1,2.2,319,3,1,90,2,27,5,1,45,13,40,0.675,8
"LA",2023,17,20,105,1,1,3,2,0,31,0,5.2,319,1,1,147,6,27,2,1,80,0,41,0.659,7.8
"LA",2023,18,29,125,2,1,2,0,0,16,0,4.3,189,1,0,88,3,16,2,1,48,0,26,0.615,7.3
"LA",2023,2,28,159,3,1,0,1,1,51,3,5.7,206,0,0,93,1,17,3,0,31,4,25,0.68,8.2
"LA",2023,3,23,67,1,0,0,0,0,14,4,2.9,259,0,1,136,2,26,2,1,43,9,49,0.531,5.3
"LA",2023,4,31,133,1,2,3,2,0,23,2,4.3,200,2,0,56,2,11,5,0,38,8,25,0.44,8
